Feature,Importance
"line105 x end, line105 y start",0.0
"line105 x end, line105 y end",0.0008128658723058846
"line106 x start, line106 y start",0.0
"line106 x start, line106 y end",0.002010115433182659
"line106 x end, line106 y start",0.0
"line106 x end, line106 y end",0.0014463473868691719
"line107 x start, line107 y start",0.0
"line107 x start, line107 y end",0.0011471381513186493
"line107 x end, line107 y start",0.0
"line107 x end, line107 y end",0.0005557731154652888
"line108 x start, line108 y start",0.0
"line108 x start, line108 y end",0.0010768890931980044
"line108 x end, line108 y start",0.0
"line108 x end, line108 y end",0.001880366206127137
"line109 x start, line109 y start",0.0
"line109 x start, line109 y end",0.0019811795002895195
"line109 x end, line109 y start",0.0
"line109 x end, line109 y end",0.0021230895095507214
"line110 x start, line110 y start",0.0
"line110 x start, line110 y end",0.0014061759853039005
"line110 x end, line110 y start",0.0
"line110 x end, line110 y end",0.00034588050004205005
"line111 x start, line111 y start",0.0
"line111 x start, line111 y end",0.0011288574379687657
"line111 x end, line111 y start",0.0
"line111 x end, line111 y end",0.0020360804179655662
"line112 x start, line112 y start",0.0
"line112 x start, line112 y end",0.0006033083591100178
"line112 x end, line112 y start",0.0
"line112 x end, line112 y end",0.0004780371206354099
"line113 x start, line113 y start",0.0
"line113 x start, line113 y end",0.0013281852534322458
"line113 x end, line113 y start",0.0
"line113 x end, line113 y end",0.0010380951720505283
"line114 x start, line114 y start",0.0
"line114 x start, line114 y end",0.0011321144345966397
"line114 x end, line114 y start",0.0
"line114 x end, line114 y end",0.0018301801638874132
"line115 x start, line115 y start",0.0
"line115 x start, line115 y end",0.0019886533812325993
"line115 x end, line115 y start",0.0
"line115 x end, line115 y end",0.0026844020821574248
"line116 x start, line116 y start",0.0
"line116 x start, line116 y end",0.002063968833975866
"line116 x end, line116 y start",0.0
"line116 x end, line116 y end",0.00016204357724842157
"line117 x start, line117 y start",0.0
"line117 x start, line117 y end",0.0006547196652423911
"line117 x end, line117 y start",0.0
"line117 x end, line117 y end",0.0041567600970246294
"line118 x start, line118 y start",0.0
"line118 x start, line118 y end",0.002343898796358221
